[16:19:37] UDP: 192.168.0.6 -> 224.0.0.252
[16:19:38] TCP: 35.185.21.228 -> 192.168.0.6
[16:19:38] TCP: 192.168.0.6 -> 35.185.21.228
[16:19:38] TCP: 35.185.21.228 -> 192.168.0.6
[16:19:38] TCP: 35.185.21.228 -> 192.168.0.6
[16:19:38] TCP: 192.168.0.6 -> 35.185.21.228
[16:19:38] TCP: 34.101.114.154 -> 192.168.0.6
[16:19:38] TCP: 192.168.0.6 -> 34.101.114.154
[16:19:38] TCP: 34.101.114.154 -> 192.168.0.6
[16:19:38] TCP: 34.101.114.154 -> 192.168.0.6
[16:19:39] TCP: 192.168.0.6 -> 34.101.114.154
[16:19:39] UDP: 192.168.0.6 -> 192.168.0.1
[16:19:39] UDP: 192.168.0.6 -> 192.168.0.1
[16:19:39] UDP: 192.168.0.6 -> 192.168.0.1
[16:19:39] UDP: 192.168.0.1 -> 192.168.0.6
[16:19:39] UDP: 192.168.0.1 -> 192.168.0.6
[16:19:39] UDP: 192.168.0.1 -> 192.168.0.6
[16:19:39] TCP: 192.168.0.6 -> 50.118.166.240
[16:19:39] TCP: 50.118.166.240 -> 192.168.0.6
[16:19:39] TCP: 50.118.166.240 -> 192.168.0.6
[16:19:39] TCP: 192.168.0.6 -> 50.118.166.240
[16:19:39] TCP: 192.168.0.6 -> 35.185.21.228
[16:19:39] TCP: 192.168.0.6 -> 40.74.98.192
[16:19:40] TCP: 40.74.98.192 -> 192.168.0.6
[16:19:40] TCP: 192.168.0.6 -> 40.74.98.192
[16:19:40] TCP: 35.185.21.228 -> 192.168.0.6
[16:19:41] TCP: 192.168.0.6 -> 172.188.155.25
[16:19:41] TCP: 192.168.0.6 -> 172.188.155.25
[16:19:41] TCP: 172.188.155.25 -> 192.168.0.6
[16:19:41] TCP: 172.188.155.25 -> 192.168.0.6
[16:19:41] TCP: 172.188.155.25 -> 192.168.0.6
[16:19:41] TCP: 192.168.0.6 -> 172.188.155.25
[16:19:41] TCP: 172.188.155.25 -> 192.168.0.6
[16:19:41] UDP: 192.168.0.1 -> 192.168.0.255
[16:19:41] UDP: 192.168.0.6 -> 192.168.0.1
[16:19:41] UDP: 192.168.0.6 -> 192.168.0.1
